Incident_Zip,NumberSightings
11217,1
10463,10
10282,12
10280,21
10271,1
10174,1
10162,10
10128,1244
10121,1
10120,1
10075,237
10069,29
10065,248
10044,10
10040,624
10039,304
10038,331
10037,246
10036,533
10035,775
10034,747
10033,977
10032,1059
10031,1435
10030,739
10029,1079
10028,622
10027,1416
10026,1217
10025,2285
10024,1269
10023,778
10022,354
10021,347
10020,2
10019,451
10018,140
10017,77
10016,420
10014,616
10013,661
10012,550
10011,559
10010,346
10009,1179
10007,249
10006,91
10005,18
10004,40
10003,627
10002,1299
10001,383
10000,3
83,21